UF,Cidade,Urna,Data Leitura UTC,Zona,Secao,Turno,Qr Code
PE,Jaboatão Dos Guararapes,1186497,2016-10-30 20:13:10.907,101,1,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:24570 ZONA:101 SECA:1 IDUE:1186497 IDCA:370757488588388650453081 VERS:5.25.0.1 LOCA:1015 APTO:394 COMP:295 FALT:99 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170047 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 12:112 22:130 NOMI:242 BRAN:17 NULO:36 TOTC:295 HASH:CF20FE84112DE58617D7711C6B7E1DAB658C47C0536F53EE77E1477CD9CE70C43AF6FBFBD4964B85B5BAE4C6AB47713A65754192CDE193E340C3DAB69D21155D ASSI:7206F91EEAD3F194CB46FFEA1A82073033ADEAB5CCBFB16B9E305FDACB48F6B5F8595F723CB5754028E02125E60C52E8AFA0237F60BF3CE16CB96AF7047F6F06
PR,Maringá,1322038,2016-10-30 19:07:25.900,66,1,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PR MUNI:76910 ZONA:66 SECA:1 IDUE:1322038 IDCA:172225289235846795038614 VERS:5.25.0.1 LOCA:1015 APTO:228 COMP:179 FALT:49 HBMA:30 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170105 IDEL:221 CARG:11 TIPO:0 VERC:201610191155 11:118 12:59 NOMI:177 BRAN:1 NULO:1 TOTC:179 HASH:B8B108AA6D4B9473F4D40E014AC1370B3A0651DA268A47183AC43AE7889CB5DA864145A9F76E75AA108CB7ED516EAEA5C6469147BDFBF51BCB13AC401B1225C8 ASSI:AF63F4C464704B8FD70FA56265203CF1C9E7AD4B122A6A2EE8DAF9CE2E34D05EBF29FBFC1000992F52934E9FF6DD2F8F080AA2C0FF5A7ACE4709D4C41FCDF90A
RJ,Rio De Janeiro,1824637,2016-10-30 19:16:59.753,246,103,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:RJ MUNI:60011 ZONA:246 SECA:103 IDUE:1824637 IDCA:746086163507914205410020 VERS:5.25.0.1 LOCA:1201 APTO:481 COMP:396 FALT:85 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170229 IDEL:221 CARG:11 TIPO:0 VERC:201610190905 10:251 50:78 NOMI:329 BRAN:16 NULO:51 TOTC:396 HASH:FCAA19E7941CB308984EB9920BD2C2BD36B166B9A1C27C0AF3F99F3B258B645D62B701190F162F0845201F8E88B917EB70767ADFD3DD50596C9891CBA0B9F3BC ASSI:BA040F0A2092D64B038484FEE8A5CC56A5F507A6C5F1BF991117FAADAEC0A6A006B6C7B4BC295DBA5A3DCC88D8D73F563C4885A7AE59B2908A250FDDFA57B70A
PE,Recife,1815283,2016-10-30 21:58:54.037,8,105,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:25313 ZONA:8 SECA:105 IDUE:1815283 IDCA:568244200641565950768486 VERS:5.25.0.1 LOCA:1171 APTO:334 COMP:290 FALT:44 HBMA:26 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170127 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 13:89 40:174 NOMI:263 BRAN:10 NULO:17 TOTC:290 HASH:1F8628265AC0FDA8ABB34F033432CDC410A046AA1FB3F752926A65F2FD4E11DB379B652B7F8F6744F4B806AAAD3A131163B8786310BDB392B8AB16FC6FD6712E ASSI:08B8474A3E4D9D646FF0A45B967C3E2F47163544A9109F9587877F6DA0E254E414A9C0674DD523993ABB20B45CF614C093996A15296E6DB2997B50700BA27404
MG,Belo Horizonte,1171166,2016-10-30 19:29:06.213,334,106,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:MG MUNI:41238 ZONA:334 SECA:106 IDUE:1171166 IDCA:168808914500779997587206 VERS:5.25.0.1 LOCA:1104 APTO:423 COMP:310 FALT:113 HBMA:6 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170206 IDEL:221 CARG:11 TIPO:0 VERC:201610190939 31:138 45:111 NOMI:249 BRAN:12 NULO:49 TOTC:310 HASH:2E7F856365FADAC97714D0AA35FA24367B11800CE03A99E243D729DB7925D2B4F2DF97710C9F44511A13AB1D95077B4375795EE8566777B5BFCAFCF0C351B308 ASSI:C34CA54EE103F2B06DFC7E799F59F4B58BD36646A36A971274DE584E41BE39BB180304A1AE17C3FBDCB9A977B61F8B1435EC4B5A2119D61887823D16613BB904
PE,Recife,1818456,2016-10-30 21:59:14.920,8,106,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:25313 ZONA:8 SECA:106 IDUE:1818456 IDCA:376325122222305123760872 VERS:5.25.0.1 LOCA:1171 APTO:335 COMP:292 FALT:43 HBMA:36 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170958 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 13:81 40:172 NOMI:253 BRAN:10 NULO:29 TOTC:292 HASH:7320EF35D80C6BBE732DD2CA9EA3E1FEBD243059135BFC5058CE49A1C9EE892D678751ADCE22E5601A4A22E50CD9FA628DF72B8EC90DD90CBBEB9FE82C83D677 ASSI:1AAAEF7985EA447CD8E09DD39F50DAA09803813B447561ABB35FB015EB672419E59F96A1C6A3EEF5979A4320EC8A47C6E985F0982B5ABA1AB4A018428A7DB402
PE,Recife,1813228,2016-10-30 22:01:46.877,8,107,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:25313 ZONA:8 SECA:107 IDUE:1813228 IDCA:921880780377317487542160 VERS:5.25.0.1 LOCA:1171 APTO:333 COMP:273 FALT:60 HBMA:16 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170029 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 13:84 40:154 NOMI:238 BRAN:6 NULO:29 TOTC:273 HASH:316F18678268440513581669166A4E3D1EAA6179ABA7849789ABCE0EDBFC588BD11524FEEFC37016902EEC31E026B901525834A03F08D48C3629500CEB63F1A3 ASSI:45E78BFAA5AAF5A4DFCB5CFC6C25B306D9E5D1139AC197413F2D132224CDDA4E0942EE58C9E2C31D288EA0CBAE4A2D58A677958C5DB05F60A4C15A802F2DA008
MG,Belo Horizonte,1111007,2016-10-30 19:27:24.360,334,108,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:MG MUNI:41238 ZONA:334 SECA:108 IDUE:1111007 IDCA:694161666853172942627456 VERS:5.25.0.1 LOCA:1104 APTO:476 COMP:356 FALT:120 HBMA:6 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170133 IDEL:221 CARG:11 TIPO:0 VERC:201610190939 31:142 45:132 NOMI:274 BRAN:13 NULO:69 TOTC:356 HASH:9CDC0366734D5C69109F4DB240E63755D32F85FBD3306713D2F5BB727A54C56685EA75E52CD162469842740B0995145BEE609AFB869801167D88CD6AF154E7DC ASSI:E6ADB3E67C4C1057B4F69C1182A1E2096505E471518CAFF45C36582A215E63FEE91570243BBBF5A02F977A7F55C16424BE76939D0A6DBBEF3FB74FCDD5A2000C
PE,Recife,1812630,2016-10-30 21:58:38.240,8,108,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:25313 ZONA:8 SECA:108 IDUE:1812630 IDCA:871375845672912936175739 VERS:5.25.0.1 LOCA:1171 APTO:332 COMP:285 FALT:47 HBMA:24 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170248 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 13:89 40:163 NOMI:252 BRAN:10 NULO:23 TOTC:285 HASH:EC92E565CDAF97E8B433B836D9239A6284DA6EC1C621ABF8FD1FB089870344ED1A418B72E599B2A865C7A30BE5E9D1610AB46EEC1F715F0F214BDFFBEA4536B2 ASSI:9F304FF595A5E512C3AA08E43459E14E485A8B13ADE26C8D6AC8EF35DE6275839112A57771A11A2B902FD4319765320E914D102FE3A01559F02DE84787D0550D
PE,Recife,1815336,2016-10-30 22:00:32.443,8,109,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:25313 ZONA:8 SECA:109 IDUE:1815336 IDCA:982486062783545712346979 VERS:5.25.0.1 LOCA:1171 APTO:332 COMP:293 FALT:39 HBMA:26 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170042 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 13:88 40:168 NOMI:256 BRAN:10 NULO:27 TOTC:293 HASH:0A929D13289601A0C8401FC8911D4E4F7A9349D81AF839B59CA983A890DE26B501DB4D50E276FF9AD91840B9483E94CCB0EBEB77103117DEDC338905260202D6 ASSI:874F940C65DA055BA517307F151FCD1FE6D668CBD168504CF3B6E7B61058F9DFE1FCCC10ED404CA2CFA4EDDA07C4253930150D1D71AFAAB6AB13D2A92522FF02
PE,Recife,1774798,2016-10-30 22:01:53.797,8,110,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:25313 ZONA:8 SECA:110 IDUE:1774798 IDCA:760264926761976876993240 VERS:5.25.0.1 LOCA:1171 APTO:303 COMP:268 FALT:35 HBMA:12 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170040 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 13:72 40:160 NOMI:232 BRAN:8 NULO:28 TOTC:268 HASH:A9ECC31FBEA63A4A93D561031720DA1F3BAF74C84103FF154A1AEB81B2AAEB7A99AC6DBF0AF8C1CED580258245AEF28BC0DA2892ED50749D2B416136D89CF9C9 ASSI:51427DB8EB40DC4322DECD8553B8BF3FFA23530C3403EBC967EDDA140A47624D1594D93AB32E1FE29F41F6C273BEFBB9C96C93D476E5AA4E6DD97C9DCAF09209
PE,Recife,1774423,2016-10-30 22:00:57.550,8,111,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:PE MUNI:25313 ZONA:8 SECA:111 IDUE:1774423 IDCA:315719587916270490154158 VERS:5.25.0.1 LOCA:1171 APTO:331 COMP:279 FALT:52 HBMA:24 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170136 IDEL:221 CARG:11 TIPO:0 VERC:201610061907 13:88 40:169 NOMI:257 BRAN:6 NULO:16 TOTC:279 HASH:88723596220C57F549DDE1C6E2FCE14FCE84E21B0E6D6CC4E9404F250CB002D6C5C982950D78125D32952B3460357C4D4FF6572E2F8B6E02141DC868FC35B9F8 ASSI:623AD8B424C6138E3916066CE8D8DE9C7A0929ACF8E86EBFC92EF529807FEF965431B734FE923EC4BDC05FCA44FC57173148FBBDFCB9DBECA21971AB7DDE6F00
RJ,Rio De Janeiro,1232845,2016-10-30 21:03:32.417,229,112,2,QRBU:1:1 VRQR:1.4 ORIG:VOTA PROC:185 DTPL:20161030 PLEI:188 TURN:2 FASE:O UNFE:RJ MUNI:60011 ZONA:229 SECA:112 IDUE:1232845 IDCA:877392870619015661949696 VERS:5.25.0.1 LOCA:1180 APTO:491 COMP:343 FALT:148 DTAB:20161030 HRAB:080000 DTFC:20161030 HRFC:170032 IDEL:221 CARG:11 TIPO:0 VERC:201610190905 10:155 50:125 NOMI:280 BRAN:9 NULO:54 TOTC:343 HASH:67069CD458E185724C1B19F13B79DF2BD70F3638A3CBDF5A11687200745C62FC97D04750E3075B8C0DB1DE820A4A040A69DC264BC0C334AE237E941485155E80 ASSI:73165FD30C5F1C9A2E4D37EF88B4F9DEC8FBACAEF13C3EF71A0CD47D6B7C64C2CF0187FBCCF6B78AE82A4D2AE99553414E29D1928542C7B189B6E7DA04BC330C
